Time [s];X [m];Y [m];Z [m];Speed [km/h]
0.0;-171.1435416881127;126.88762380579912;196.3912899172817;262.0
0.43231155778894476;-146.83991265458772;157.9019195292755;196.61026430541614;269.53369745537543
0.8646231155778895;-131.7059094530544;177.43605136506812;196.7924060129236;274.6592579689908
1.2969346733668343;-112.39225868618385;204.07483865658884;197.11606741552404;281.1401976516861
1.729246231155779;-92.7099200337144;231.00519675978126;197.55674150836293;285.49360353440625
2.161557788944724;-69.24223662553428;263.43731147147645;198.04504164494844;289.3113520665842
2.5938693467336686;-52.056130263720064;288.11131361334446;198.54906792998693;292.3653690399153
3.0261809045226133;-26.785624015642778;326.0330835852922;199.18993974239325;294.05069882419036
3.458492462311558;-12.53141588783614;346.9157624977134;199.49781672050608;295.9668507437601
3.8908040201005027;8.169960591767952;375.08094299771517;199.96075884786165;299.52621362996774
4.323115577889448;39.518011669444334;411.24869401633447;200.94937754822755;300.08511322649707
4.755427135678392;56.138384495414;425.52092680215736;201.13917929464486;298.72042644824853
5.187738693467337;88.11103576862551;443.14885023357334;201.3664264719547;298.1843270024042
5.6200502512562815;123.90395539860313;450.997693542083;201.631651809523;294.9416233768329
6.052361809045227;161.97358598978656;451.9835988662016;202.1582227189325;294.5679821567161
6.484673366834171;194.1449089457621;448.32258515932847;202.46798993423192;295.8468477177748
6.916984924623116;234.86761699909536;444.30690061287436;202.82646128553512;299.4971156299981
7.349296482412061;265.18761899163076;444.66730488189154;203.3085267627097;300.0356390378787
7.7816080402010055;301.8116703773512;452.3549771170118;203.79862135071127;298.2737564308951
8.21391959798995;334.1964930169315;467.64513738493986;204.3430698880073;299.148152390892
8.646231155778896;362.9071661277084;489.01116180156475;204.78622291272717;300.3475000921843
9.07854271356784;391.5778470990143;517.1694683455999;205.00189264200006;299.0202517135404
9.510854271356784;415.0845496955411;539.9772827829141;205.16621615083693;288.6130526815797
9.943165829145729;438.2635583978838;560.8304585846728;205.31788215251547;214.88452028311386
10.375477386934675;458.3307625104368;577.193049042407;205.49841259013738;189.44849521986993
10.807788944723619;474.2950845985438;586.9579943856725;205.44755288709433;169.45537721266834
11.240100502512563;491.24199838379633;590.3075924024683;205.31428925248437;139.25765750144248
11.67241206030151;512.4314032799297;585.8432819497946;205.45509067523744;128.51994585768023
12.104723618090453;520.4979089868253;579.6831384693027;205.64004005023546;123.06373766515097
12.537035175879398;529.915892905914;568.5012632809414;205.84954159884336;115.99446948942678
12.969346733668342;536.3230715147636;550.7066381524679;205.99129714092288;117.35652632207795
13.401658291457288;538.0010339876595;540.7750911713177;206.00819591954587;131.88981431129898
13.833969849246232;539.8193931604068;523.2267561429081;206.38569934171693;144.86233555456556
14.266281407035176;542.5898912179076;506.52724589547637;206.5606933264199;139.71578528799344
14.698592964824122;547.4218566494475;495.81647156882036;206.60147430076069;113.18592603395464
15.130904522613067;556.6742390163066;483.8688596293142;206.48554811311325;103.37665282468011
15.563216080402011;563.8055633137025;477.942961423433;206.39405191789012;96.29356535675898
15.995527638190955;575.5961236924089;473.03326505994676;206.49918065569537;90.82360479237872
16.4278391959799;583.6426575932753;474.1640581943031;206.39374893653272;85.34959969569957
16.860150753768846;593.1138805384193;480.2268446045733;206.3997229739465;97.18585981139726
17.29246231155779;601.575926446405;489.07225870487855;206.39065156509255;104.37662661233017
17.724773869346734;609.227537847597;500.00624735713336;206.50871277019377;127.00163467454627
18.15708542713568;618.0558136137395;517.9741309371555;206.49875417912742;134.22297900894824
18.589396984924626;623.012410570041;532.4505279616458;206.48344402623704;165.34185395137433
19.02170854271357;628.5735171458049;554.154662422809;206.51638729132864;182.1050979158781
19.454020100502515;633.4325908077205;584.8341115146677;206.42844127133466;200.34473552311246
19.886331658291457;632.4656251083409;606.8720179563587;206.3939152001511;214.2551689757387
20.318643216080403;627.8850185986856;632.9830145855603;206.3076458770172;226.10536480546534
20.75095477386935;617.9785088478552;658.9242930127249;206.2977456819349;235.21516324472645
21.18326633165829;600.8685341732603;686.7931929820836;206.41022403265356;248.99473258025918
21.615577889447238;584.1623613107378;705.7362609167672;206.39831554326202;251.78245009247053
22.047889447236184;560.9179518602455;726.1121727727403;206.39998116004674;251.85970643910898
22.480201005025126;531.8615897263196;748.3532370558787;206.39976542221814;269.93537428203643
22.912512562814072;505.38686974140603;769.881598310338;206.40217430499655;272.37743071855573
23.34482412060302;485.2002903053031;786.8455828036441;206.4058840539633;278.90241487847163
23.77713567839196;459.2659035158899;809.0985572218933;206.4639814258206;283.6740603976292
24.209447236180907;430.8893920700048;833.3495077675602;206.40723720631615;288.94605334221814
24.641758793969853;403.42828722090474;856.918327234919;206.33832735614035;293.2267446201789
25.074070351758795;377.27823497665577;879.6818387680862;206.29967355933422;296.9088876306148
25.50638190954774;352.66241036617276;901.2967976395308;206.29895808580673;301.50018928436293
25.938693467336684;325.5200430899054;925.1376378141329;206.40791669569802;304.3639910930495
26.37100502512563;291.17881737671115;955.1637191307906;206.18063988978113;309.7578791367113
26.803316582914576;270.26866628096093;973.2452030309223;205.96883454428612;308.3798435232004
27.23562814070352;236.45045712042452;1002.8838487014665;205.51224342642502;310.8665178684543
27.667939698492464;213.4067815952944;1023.4529533776471;205.1933043929713;307.93492235316677
28.10025125628141;186.0294446187536;1047.9905540781515;204.7677366718606;323.75208779877556
28.532562814070353;159.1632122269828;1069.7950392592825;204.35927073574655;300.2358444541048
28.9648743718593;126.6915746288575;1087.7980313663145;203.81568555527846;257.0737103981416
29.397185929648245;98.05701547263335;1094.8475008860735;203.51159677029838;231.61956981278763
