Time [s];X [m];Y [m];Z [m];Speed [km/h]
0.0;-175.90658039017893;120.54452102152275;196.3122473421664;259.0
0.43510050251256277;-156.47161261267985;145.78993331892352;196.49702362034407;266.37266075762454
0.8702010050251255;-135.90635804723092;171.94351224473093;196.7134304110709;270.3536209229358
1.3053015075376884;-116.649063059858;198.0918612483465;197.05558461261728;276.49346517931383
1.740402010050251;-96.92799039915162;225.24848827926166;197.41502811644435;281.0013714712605
2.175502512562814;-74.747533207702;255.81554062157446;197.93900156836878;285.28210710598785
2.6106030150753767;-56.73758044657867;281.2610386147396;198.39585432479922;289.3300721836781
3.0457035175879392;-36.218897168427056;311.6832092032432;198.90549618803408;292.1272709549891
3.480804020100502;-16.929737680713963;340.46919382258943;199.43912231446728;294.9975280886066
3.915904522613065;8.191550299081653;374.8154854949413;199.9801454198602;296.18449965847213
4.351005025125628;26.24792409185089;397.00036253692355;200.61754910640903;299.0324587123352
4.78610552763819;50.84744972587163;421.5909430073881;201.10422462862786;299.0665887805067
5.2212060301507535;79.87416233287907;439.96375420494684;201.35963030345835;296.9595819197789
5.656306532663316;114.78409980950187;450.0033907526403;201.54473408815952;293.990770450757
6.0914070351758784;150.26722549347033;452.0480431560467;201.91961125123993;293.99991531019117
6.526507537688442;191.02592253499978;448.71486303883387;202.45125746045963;294.96718543063685
6.961608040201004;222.90658780026052;444.6469199880263;202.76066413620168;297.06541261282956
7.396708542713567;256.3528800399011;443.7890001324104;203.13726033725962;299.6269931085375
7.83180904522613;302.313617854772;452.2496433699256;203.81752096129267;295.9720956990762
8.266909547738692;329.66101630730736;465.0885560676865;204.28703267383779;296.9962941739406
8.702010050251255;364.76913718392444;490.97625795229686;204.83910812266166;297.00268138679195
9.137110552763819;385.15582290847124;510.60867658416237;204.98862201764496;296.11407438456894
9.57221105527638;414.0460406710149;539.1453678975004;205.15593092560047;292.0178685217859
10.007311557788944;436.6518841953445;559.3623509883656;205.34865232086085;255.2804472105629
10.442412060301507;456.83014057198204;576.0922942979338;205.51058402399718;206.02768163984038
10.877512562814069;474.7804150734923;587.2072769451019;205.3863147035786;198.27535681353064
11.312613065326632;492.11021087756166;590.2014885625254;205.35496231902533;140.04554941515454
11.747713567839195;507.8629061578675;587.3219071497346;205.36967680791867;128.103215531331
12.182814070351757;520.9553285268091;579.2730826086691;205.6336418415272;114.67647168587558
12.61791457286432;531.0294506689211;566.2777631691771;205.88085352183728;115.32012366309753
13.053015075376884;535.2583292286273;555.3893080027681;205.86685823193358;120.65441532477168
13.488115577889445;538.1563813684638;540.3325363759332;206.00366554460973;134.41839337747683
13.923216080402009;539.779957912054;521.5017001945799;206.41517574980662;159.91381925460882
14.358316582914572;544.0437857521899;503.05154279053573;206.5868977640706;149.92555266003586
14.793417085427134;550.8476026008894;490.3651267165625;206.60103443994925;134.21774177593926
15.228517587939697;560.8557598189986;480.0774681361321;206.5018586530724;110.11716661939732
15.66361809045226;574.890617263362;472.5709011214589;206.38592591288432;99.07074782867765
16.098718592964822;585.3696503491641;475.2322065489739;206.3288915134545;92.54188374645376
16.533819095477384;591.9147814656487;479.1459728875027;206.39426731693987;87.34680286332866
16.96891959798995;600.4565354096276;487.87591993878743;206.39492497217807;98.14085574710724
17.40402010050251;607.3784972865074;497.2612239724209;206.49089412217853;84.05404705987213
17.839120603015072;614.3467850263751;509.80042895348674;206.5000139453738;123.09355373864405
18.274221105527637;620.5464841007123;525.0770698742701;206.500241552555;152.3497749181172
18.7093216080402;626.6187607931417;545.6210205928559;206.47455725556313;170.21834894395698
19.14442211055276;631.4605270448822;568.1734576487839;206.47476338177373;187.6374001847962
19.579522613065325;633.176078488102;588.8132433142654;206.39452557210598;195.99606857987058
20.014623115577887;630.7388457719477;618.549995571009;206.3507457319828;214.60146619485167
20.44972361809045;624.8472990784444;643.6985752090841;206.20854189327198;209.52431248428982
20.884824120603014;613.7285215691496;666.9976506205334;206.31154806718925;239.97358020857686
21.319924623115575;597.7313136384279;690.7100653651529;206.40147325956133;244.8625893891782
21.755025125628137;576.6759122395871;712.8589448783296;206.40027187260415;250.1677074385121
22.190125628140702;552.8441434542465;732.4346734950349;206.40000616545797;255.3400873534171
22.625226130653264;527.2316318006644;751.9988161356848;206.39999794241956;268.8897632166405
23.060326633165825;499.05890593311597;775.0885768385581;206.400560558933;275.0516984910089
23.49542713567839;476.01460810885374;794.6873643581038;206.39988724429577;281.976053798591
23.930527638190952;448.2870535820178;818.4971604213295;206.48493435817542;285.7256718948742
24.365628140703514;422.4676940921352;840.5852355974969;206.39749025433647;288.793550702102
24.80072864321608;396.6410887857573;862.6836730221455;206.27048980824134;296.2750183719306
25.23582914572864;363.6047065968295;891.6893228248867;206.30736118258724;302.01015108695833
25.670929648241202;342.20416192000704;910.4528101887552;206.33549186396624;306.5847694404636
26.106030150753767;314.5145399372743;934.758132358893;206.36101884050532;308.42137300275726
26.54113065326633;279.159877937522;965.6081503793106;206.09800951290285;310.99813340178747
26.97623115577889;255.86371823328062;985.83099457212;205.79278242934234;313.03835431346374
27.411331658291456;226.36789686888127;1011.8415025883944;205.37406769531398;313.7911028656725
27.846432160804017;196.43994492603042;1038.7754670520956;204.90655844836465;312.98298349134996
28.28153266331658;160.6581902884837;1068.760739578384;204.39616134159857;311.95378741640013
28.716633165829144;140.46111768189752;1081.7815389791976;204.06807332358932;295.0299243595515
29.151733668341706;107.78066775212736;1093.6520213069139;203.61334319541552;242.446571301227
29.586834170854267;85.9317284958418;1094.9885374614528;203.39975540133165;218.180451819503
